City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Hambantota,LK,77.97,6.12,81.12,100,68,3.62
Rio Grande,BR,78.8,-32.03,-52.1,57,40,11.41
Bambous Virieux,MU,82.4,-20.34,57.76,78,20,5.82
Turukhansk,RU,-20.63,65.8,87.96,30,76,11.01
Sept-Iles,CA,10.4,50.2,-66.38,51,20,4.7
Edd,ER,69.91,13.93,41.69,54,0,4.07
Victoria,BN,77.9,5.28,115.24,94,75,7.09
Ambatofinandrahana,MG,59.79,-20.55,46.8,75,0,3.96
Mount Gambier,AU,53.6,-37.83,140.78,87,20,5.82
Tairua,NZ,62.04,-37.02,175.85,96,56,6.76
Erzin,TR,47.66,36.95,36.2,53,40,10.29
Mglin,RU,21.81,53.06,32.85,88,88,2.95
Guilin,CN,50,25.28,110.29,93,90,6.71
Itarema,BR,85.12,-2.92,-39.92,72,88,10.67
Hovd,NO,39.27,63.83,10.7,86,75,16.11
Berlevag,NO,10.06,70.86,29.09,100,64,9.78
New Norfolk,AU,66.2,-42.78,147.06,48,40,8.05
Arraial do Cabo,BR,86.05,-22.97,-42.02,58,40,14.99
Lagoa,PT,59,37.14,-8.45,77,0,6.93
Papagaios,BR,91.2,-19.45,-44.75,41,76,10.67
Sidi Ali,DZ,52.23,36.1,0.42,91,0,2.28
Gore,ET,64.24,8.15,35.53,76,0,2.17
Kruisfontein,ZA,67.98,-34,24.73,87,32,2.73
Wajir,KE,91.4,1.75,40.07,38,20,4.7
Vostok,RU,-13.75,46.45,135.83,60,0,1.95
Yorkton,CA,10.4,51.21,-102.46,85,90,4.7
Kavaratti,IN,82.51,10.57,72.64,100,8,3.4
Clearwater,US,66.85,27.97,-82.8,52,40,5.19
Lebu,ET,59,8.96,38.73,58,20,11.41
Norman Wells,CA,-4.01,65.28,-126.83,83,90,2.24
Leningradskiy,RU,-5.65,69.38,178.42,100,24,6.76
Kilemary,RU,25.14,56.78,46.86,91,80,15.14
Kharian,PK,46.4,32.81,73.87,70,0,6.93
Izvestkovyy,RU,-18.79,48.98,131.55,26,0,1.95
Abomey,BJ,84.27,7.18,1.99,35,0,3.4
Praia,BR,85.01,-20.25,-43.81,55,40,3.36
Carutapera,BR,77.52,-1.2,-46.02,98,80,5.64
Chokurdakh,RU,-28.6,70.62,147.9,46,48,3.62
Baoding,CN,10.38,38.86,115.49,66,0,2.39
Zlitan,LY,56.37,32.47,14.57,91,0,8.55
Tuatapere,NZ,50.25,-46.13,167.69,100,0,3.4
Ancud,CL,68,-41.87,-73.83,64,75,5.82
Honiara,SB,74.19,-9.43,159.96,100,44,2.06
Pisco,PE,71.6,-13.71,-76.2,30,90,13.87
Mogadishu,SO,80.44,2.04,45.34,96,0,25.99
Viravanallur,IN,71.49,8.7,77.53,97,88,1.5
Vardo,US,40.35,39.62,-77.74,50,90,14.99
Cherskiy,RU,-34.81,68.75,161.3,0,48,2.73
Longyearbyen,NO,19.4,78.22,15.63,57,75,11.41
Green Valley,US,34.29,40.41,-89.64,69,1,4.7
Uttarkashi,IN,19.29,30.73,78.44,77,0,1.72
Pangnirtung,CA,-4.01,66.15,-65.72,83,5,2.24
Afonso Claudio,BR,89.04,-20.07,-41.12,61,48,3.96
Itanagar,IN,48.49,27.1,93.63,83,0,1.72
Port Hardy,CA,30.2,50.7,-127.42,100,20,3.36
Mahibadhoo,MV,79.77,3.78,72.97,100,32,5.97
Balabac,PH,82.2,7.99,117.06,100,88,15.03
Bundaberg,AU,66.2,-24.87,152.35,72,76,11.41
Abalak,NE,68.16,15.46,6.28,26,0,8.99
Guadalupe y Calvo,MX,66.36,26.09,-106.96,18,0,2.51
Najran,SA,62.6,17.54,44.22,42,0,6.93
Ola,RU,-2.09,59.58,151.3,100,0,13.58
Ponta do Sol,BR,85.12,-20.63,-46,69,36,4.41
Nome,US,58.15,30.04,-94.42,49,1,12.75
Puerto Ayora,EC,84.2,-0.74,-90.35,66,75,16.11
Naze,NG,89.6,5.43,7.07,29,20,4.7
Bama,CN,56.55,24.14,107.25,99,92,4.63
Ostrovnoy,RU,14.74,68.05,39.51,92,24,15.48
Derzhavinsk,KZ,-9.16,51.1,66.31,67,20,13.24
Pindiga,NG,82.4,9.98,10.93,17,0,10.29
Kandrian,PG,73.02,-6.21,149.55,100,68,2.95
Aojiang,CN,57.2,26.21,119.54,76,90,13.42
Olinda,EC,78.8,-2.03,-79.75,83,75,3.36
Butaritari,KI,76.53,3.07,172.79,100,92,11.9
Katsuura,JP,44.6,33.93,134.5,81,75,6.93
Torbay,CA,26.6,47.66,-52.73,68,20,14.99
Goryachegorsk,RU,-25.31,55.41,88.92,36,0,2.17
Bathsheba,BB,82.4,13.22,-59.52,61,20,20.8
Sosnovo-Ozerskoye,RU,-23.96,52.53,111.54,32,12,12.68
Guerrero Negro,MX,64.74,27.97,-114.04,73,0,2.73
Alofi,NU,78.8,-19.06,-169.92,88,75,6.93
Itacarambi,BR,87.15,-15.1,-44.09,66,8,5.3
Paamiut,GL,36.16,61.99,-49.67,86,80,37.18
Yumen,CN,6.15,40.29,97.04,75,56,7.87
La Palma,CO,77.34,5.36,-74.39,76,12,2.73
Castro,CL,68,-42.48,-73.76,64,75,5.82
Yellowknife,CA,-13.01,62.45,-114.38,75,40,3.36
Broadstairs,GB,38.3,51.36,1.44,93,0,4.52
Mezen,RU,8.67,65.85,44.24,73,76,7.2
Mayya,RU,-27.41,61.74,130.28,74,0,6.71
Kodiak,US,40.41,39.95,-94.76,41,1,12.75
Berezovyy,RU,-18.11,51.67,135.7,25,24,3.62
Chuy,UY,75.9,-33.69,-53.46,84,0,11.45
Provideniya,RU,7.23,64.42,-173.23,100,56,5.97
Labuhan,ID,70.86,-2.54,115.51,96,76,2.17
Bumba,CD,84.49,2.18,22.47,42,32,4.63
Adamas,GR,60.8,36.73,24.43,67,8,13.87
Barrow,AR,98.26,-38.31,-60.23,25,12,16.04
San Borja,BO,71.94,-14.86,-66.75,99,92,2.73
Ariquemes,BR,88.14,-9.91,-63.03,58,12,2.95
Saint-Philippe,CA,18.39,45.36,-73.48,78,75,4.7
Ikalamavony,MG,65.41,-21.17,46.6,66,32,3.96
The Valley,AI,81.45,18.22,-63.06,58,40,17.22
Narsaq,GL,31.98,60.91,-46.05,93,92,5.41
Golden,CA,19.4,51.3,-116.96,92,90,1.83
Gat,SN,91.4,14.69,-16.54,17,0,9.17
Kaniama,CD,68.43,-7.57,24.18,94,68,2.28
San Patricio,PY,89.49,-26.98,-56.83,61,68,3.74
Severo-Kurilsk,RU,27.39,50.68,156.12,100,88,18.72
Muros,ES,51.8,42.77,-9.06,81,0,4.52
Kirakira,SB,81.61,-10.46,161.92,100,76,10.67
Yerbogachen,RU,-44.26,61.28,108.01,0,0,4.41
Sao Joao da Barra,BR,89.6,-21.64,-41.05,55,40,10.29
Oranjestad,AW,84.2,12.52,-70.03,66,20,19.46
San Joaquin,PH,75.72,10.59,122.14,94,88,3.18
Kollam,IN,84.2,8.88,76.6,79,40,2.24
Vila Franca do Campo,PT,59,37.72,-25.43,87,40,12.75
Ghanzi,BW,83.19,-21.7,21.65,47,64,3.18
Ust-Tsilma,RU,3.63,65.44,52.15,64,76,7.2
Souillac,FR,54.39,45.6,-0.6,87,90,2.24
Trzebnica,PL,32,51.31,17.06,95,75,20.8
Atikokan,CA,18.12,48.76,-91.62,74,76,3.74
Zeya,RU,-23.38,53.74,127.27,33,24,2.28
Pevek,RU,-28.73,69.7,170.27,100,0,3.18
Puerto Leguizamo,CO,83.32,-0.19,-74.78,77,32,3.18
Jiaozuo,CN,24.96,35.21,113.25,61,56,2.28
Gavrilovka Vtoraya,RU,29.55,52.88,42.77,93,92,11.79
Sitka,US,48.22,37.17,-99.65,49,92,14.7
Lavrentiya,RU,13.66,65.58,-170.99,100,68,12.01
Abbeville,FR,44.6,50.11,1.83,87,90,2.24
Hopelchen,MX,77,19.77,-89.85,61,40,9.17
Isangel,VU,79.41,-19.55,169.27,100,80,14.03
Bandarbeyla,SO,78.91,9.49,50.81,97,20,23.31
Carroll,AU,62.6,-30.99,150.44,72,0,8.05
Ilulissat,GL,8.6,69.22,-51.1,65,40,11.41
Takoradi,GH,85.39,4.89,-1.75,92,12,6.76
Marawi,PH,68.88,8,124.29,100,92,1.39
Mahebourg,MU,80.6,-20.41,57.7,83,20,5.82
Ostrow Wielkopolski,PL,29.86,51.66,17.81,93,80,14.81
San Cristobal,EC,71.6,-0.39,-78.55,35,75,4.7
Stettler,CA,7.99,52.32,-112.71,82,44,4.41
Caravelas,BR,81.07,-17.73,-39.27,98,0,21.41
Jatai,IN,42.15,28.97,76.18,84,0,3.18
Amarante do Maranhao,BR,85.17,-5.57,-46.74,70,56,3.4
Kavieng,PG,82.06,-2.57,150.8,100,64,5.97
La Asuncion,EC,57.27,-1.64,-78.74,68,68,2.73
Hami,CN,-5.74,42.84,93.51,53,0,3.74
Fairbanks,US,-20.66,64.84,-147.72,68,20,4.97
Husavik,CA,10.2,50.56,-96.99,80,48,2.95
Westport,IE,44.6,53.8,-9.52,100,90,11.41
Manokwari,ID,84.49,-0.87,134.08,96,44,11.79
Ahipara,NZ,61.86,-35.17,173.16,100,92,5.97
Palmas de Monte Alto,BR,86.79,-14.26,-43.16,62,12,7.43
Cabo San Lucas,MX,69.71,22.89,-109.91,53,20,2.24
Henties Bay,NA,65.55,-22.12,14.28,85,0,5.75
Vrangel,RU,26.85,42.73,133.08,100,20,5.41
Kaitangata,NZ,48.09,-46.28,169.85,80,0,3.96
Keti Bandar,PK,67.89,24.14,67.45,100,0,16.49
Touros,BR,86,-5.2,-35.46,66,75,12.75
Lasa,CY,58.28,34.92,32.53,76,20,5.82
Esperance,TT,82.4,10.24,-61.45,58,75,12.75
Belyy Yar,RU,-16.61,53.6,91.39,75,0,3.18
Saint Anthony,US,26.24,43.97,-111.68,87,90,5.82
Balkanabat,TM,34.27,39.51,54.36,92,80,4.41
Telde,ES,69.8,27.99,-15.42,43,0,13.87
Ambon,FR,52.45,47.55,-2.56,100,90,2.24
Port Alfred,ZA,71.17,-33.59,26.89,87,12,5.75
Ipameri,BR,85.62,-17.72,-48.16,71,20,4.63
Swan Hill,AU,61.95,-35.34,143.56,62,0,2.62
Sobolevo,RU,22.62,54.43,31.9,96,76,4.52
Namuac,PH,75.99,18.61,121.17,100,56,7.2
Dubasari,MD,32,47.26,29.16,95,90,9.17
Kualakapuas,ID,73.42,-3.01,114.39,97,92,2.39
Upernavik,GL,-0.61,72.79,-56.15,100,32,1.83
Umm Lajj,SA,68.92,25.02,37.27,100,20,10.67
Yurimaguas,PE,48.2,-5.9,-76.1,310,40,4.7
Tainan,TW,68.32,22.99,120.21,82,75,5.82
Ballina,IE,45.54,54.11,-9.15,100,90,11.41
Mount Vernon,US,40.95,48.42,-122.33,79,90,5.82
Mount Isa,AU,89.6,-20.73,139.49,22,0,16.11
Brae,GB,46.4,60.4,-1.35,81,80,23.04
Stonewall,CA,8.6,50.13,-97.33,84,90,4.7
Japura,ID,70.5,-0.42,102.29,98,8,2.06
Roebourne,AU,83.86,-20.77,117.15,44,44,9.22
Tessalit,ML,64.06,20.2,1.01,19,0,7.99
Ubatuba,BR,74.01,-23.43,-45.08,100,80,3.51
Bethel,US,7.56,60.79,-161.76,91,90,12.75
Ketchikan,US,37.71,55.34,-131.65,93,20,5.82
Teguise,ES,66.2,29.06,-13.56,52,36,25.28
Port Elizabeth,US,43.38,39.31,-74.98,59,90,17.22
San Quintin,PH,71.67,17.54,120.52,78,20,4.74
Alekseyevsk,RU,-42.59,57.84,108.35,0,0,2.62
Yulara,AU,77,-25.24,130.99,11,0,6.93
Geraldton,CA,-13.01,49.72,-86.95,75,20,3.4
Khuzhir,RU,-24.86,53.19,107.35,100,0,9.1
Rypefjord,NO,28.4,70.63,23.67,79,80,11.41
Gidole,ET,68.74,5.65,37.37,57,44,2.39
Callaway,US,14.54,46.98,-95.91,92,1,4.63
Acapulco,MX,84.2,16.86,-99.88,48,20,5.82
Ishikawa,JP,28.11,37.14,140.45,69,0,7.43
Manaure,CO,89.6,11.78,-72.45,43,20,19.46
Coquimbo,CL,62.6,-29.95,-71.34,82,90,10.29
Mana,RS,36.86,43.52,20.24,100,90,12.75
Halifax,CA,23,44.65,-63.58,73,75,3.36
Piracuruca,BR,86.47,-3.93,-41.72,74,64,4.41
Koforidua,GH,87.8,6.11,-0.27,48,20,8.05
Yeppoon,AU,71.6,-23.13,150.74,73,90,10.29
Saryozek,KZ,19.96,44.36,77.98,83,92,2.39
Urcos,PE,62.6,-13.69,-71.62,48,75,6.93
Nha Trang,VN,78.8,12.24,109.19,88,75,8.05
Saint George,GR,52.36,39.45,22.34,62,40,5.82
Aklavik,CA,-15.51,68.22,-135.01,75,75,13.87
Bud,NO,42.8,62.91,6.91,87,92,41.38
Grand Gaube,MU,82.4,-20.01,57.66,78,20,5.82
Roald,NO,42.8,62.58,6.12,87,75,25.28
Khilok,RU,-17.03,51.36,110.46,22,20,12.12
Pouebo,NC,74.64,-20.4,164.57,99,100,5.97
Ierapetra,GR,55.4,35.01,25.74,87,20,8.05
Quatre Cocos,MU,80.6,-20.21,57.76,83,20,5.82
Vero Beach,US,69.33,27.64,-80.4,50,1,10.29
Pesochnoye,RU,13.35,58.01,39.18,87,76,9.44
Oum Hadjer,TD,71.76,13.3,19.7,25,24,7.76
Port Augusta,AU,66.2,-32.49,137.76,77,48,4.7
Seydi,NE,69.24,13.34,7.75,31,0,7.2
Cascais,PT,55.36,38.7,-9.42,67,0,5.82
Cayenne,GF,84.2,4.94,-52.33,70,75,12.75
Porto Novo,BR,77,-23.68,-45.44,78,75,6.93
Antofagasta,CL,68,-23.65,-70.4,60,20,12.75
Andra,RU,-23.24,62.52,65.89,35,8,9.33
Ardmore,US,38.7,34.99,-86.85,57,1,8.05
Camacha,PT,68,33.08,-16.33,68,20,21.92
Necochea,AR,94.17,-38.55,-58.74,41,24,11.68
Crotone,IT,48.85,39.09,17.12,67,0,10.29
Le Port,FR,51.8,42.87,1.37,62,0,2.24
Lodi,IT,45.91,45.31,9.5,100,75,8.05
Viedma,AR,95.79,-40.81,-62.99,30,8,7.2
Jiangyou,CN,37.83,31.78,104.73,94,76,2.84
Lorengau,PG,83.01,-2.02,147.27,100,20,4.63
Ritchie,ZA,96.8,-29.03,24.6,15,0,16.11
Agadez,NE,75.2,16.97,7.99,17,0,20.8
Meulaboh,ID,75.63,4.14,96.13,100,64,1.95
Saint-Augustin,FR,52.59,44.83,-0.61,93,90,2.24
Obuasi,GH,86.47,6.21,-1.69,50,56,4.18
Ayagoz,KZ,-7.58,47.96,80.43,73,56,13.24
Hasaki,JP,30.87,35.73,140.83,59,0,5.82
Benguela,AO,79.05,-12.58,13.4,95,12,6.87
Jinchang,CN,5.34,38.52,102.19,60,48,2.84
Tolaga Bay,NZ,62.76,-38.37,178.3,97,92,22.08
Elizabeth City,US,49.69,36.3,-76.22,52,20,10.29
Pinheiro,BR,84.36,-2.53,-45.09,69,92,5.64
Beringovskiy,RU,-12.13,63.05,179.32,100,0,7.99
Luderitz,NA,65.46,-26.65,15.16,65,0,14.92
Durham,GB,35.67,54.78,-1.58,86,0,1.12
Akdepe,TM,29.71,42.05,59.39,79,90,9.17
New Bern,US,53.13,35.11,-77.04,54,1,6.93
Alihe,CN,-4.16,50.57,123.73,61,64,2.73
Urdoma,RU,9.03,61.74,48.55,78,92,6.64
Evensk,RU,7.86,61.92,159.24,100,0,12.01
Marsh Harbour,BS,72.03,26.54,-77.06,100,24,11.79
Shirokiy,RU,20.82,53.87,39.17,91,92,7.2
Pangai,TO,80.4,-19.8,-174.35,98,80,22.75
Kota Kinabalu,MY,78.8,5.98,116.07,88,75,5.82
Ouro Preto do Oeste,BR,84.49,-10.75,-62.22,73,44,2.95
Kieta,PG,80.71,-6.22,155.63,95,64,3.4
Lukang,TW,62.6,24.06,120.44,93,75,3.36
San Rafael,AR,96.6,-34.61,-68.33,14,0,17.83
Lebyazhye,RU,26.6,59.96,29.42,92,75,4.47
Almaznyy,RU,33.8,48.03,40.04,91,75,4.47
Vao,EE,26.89,59.1,26.19,92,88,3.4
Qaqortoq,GL,35.26,60.72,-46.03,85,92,23.87
Krasnyy Chikoy,RU,-12.67,50.36,108.75,53,24,9.22
Chabahar,IR,73.47,25.29,60.65,99,0,7.99
Zhigansk,RU,-36.88,66.77,123.37,0,0,2.39
Prado,BR,80.89,-17.34,-39.22,92,0,21.52
Constitucion,MX,46.4,23.99,-104.67,33,75,3.36
Chumikan,RU,1.87,54.72,135.31,59,64,17.49
At-Bashi,KG,-1.6,41.17,75.81,61,48,1.61
Mangochi,MW,69.33,-14.48,35.26,100,80,1.72
Fortuna,ES,61.5,38.18,-1.13,67,0,8.05
Aksu,KZ,-31.01,52.04,76.93,73,0,4.47
Mikhaylovka,RU,-11.05,52.96,103.29,53,44,5.3
Becerril,CO,79.95,9.7,-73.28,56,8,2.62
Antalaha,MG,76.57,-14.9,50.28,98,76,3.4
Harnosand,SE,11.1,62.63,17.94,85,44,2.24
Port-Cartier,CA,10.4,50.03,-66.88,51,20,4.7
Mto wa Mbu,TZ,72.75,-3.38,35.86,77,88,4.63
Ponta Delgada,PT,59,37.73,-25.67,87,40,12.75
Sangar,RU,-28.15,63.92,127.47,44,8,4.74
Gobindpur,IN,45.84,23.81,86.6,82,0,3.96
Anchorage,US,8.65,61.22,-149.89,84,90,2.39
Nago,IT,39.2,45.88,10.89,100,90,2.24
Bolzano,IT,41.45,45.97,13.39,100,0,2.24
Punta Alta,AR,90.5,-27.46,-55.82,38,20,3.36
Sola,NO,43.59,58.89,5.65,81,75,16.11
Coari,BR,85.8,-4.09,-63.14,76,32,3.74
Parakou,BJ,79.23,9.34,2.63,30,0,4.29
Harper,US,48.31,30.3,-99.24,54,1,8.05
Burnie,AU,61.32,-41.05,145.91,100,44,11.23
Orlik,RU,-14.24,52.51,99.83,51,32,2.73
Garmsar,IR,29.14,35.22,52.34,79,0,2.17
Santa Isabel do Rio Negro,BR,79.5,-0.41,-65.02,92,88,3.62
Gedo,ET,61.05,9.01,37.45,82,68,1.61
Odessa,US,49.75,31.85,-102.37,53,1,13.87
Rapid Valley,US,34.72,44.06,-103.15,49,1,3.36
Villaviciosa,ES,53.6,43.48,-5.43,81,0,3.36
Marsa Matruh,EG,64.4,31.35,27.25,68,75,9.17
Limbang,BN,77.63,4.75,115.01,100,75,3.36
Fare,PF,82.38,-16.7,-151.02,100,48,13.69
Nara,JP,46.4,34.68,135.8,65,0,8.05
Paita,PE,62.6,-5.09,-81.11,290,0,17.22
Smithers,CA,24.8,54.78,-127.17,92,75,4.7
Kathu,ZA,85.8,-27.7,23.05,14,0,11.01
Mwense,ZM,67.26,-10.39,28.7,93,92,3.96
Kuhdasht,IR,25.09,33.53,47.61,86,44,2.17
Bar Harbor,US,22.41,44.39,-68.2,67,75,4.52
Vestmanna,FO,44.6,62.16,-7.17,75,32,27.51
Sinnamary,GF,79.14,5.38,-52.96,96,92,9.44
Peabiru,BR,75.49,-23.91,-52.35,100,68,3.4
Ouahigouya,BF,76.08,13.58,-2.42,19,0,7.65
Tres Arroyos,AR,98.26,-38.38,-60.28,25,12,16.04
Conner,PH,69.69,17.8,121.32,98,68,1.39
Jawhar,IN,65.64,19.91,73.23,77,0,3.06
Sinjar,SY,43.86,35.59,37,81,0,7.99
High Level,CA,3.76,58.52,-117.13,78,92,4.97
Ilo,PE,77,-17.65,-71.34,57,0,6.93
Morwell,AU,59.16,-38.24,146.4,77,0,2.95
Huarmey,PE,76.66,-10.07,-78.15,63,12,4.63
Mpika,ZM,65.01,-11.84,31.4,97,80,2.62
Bilma,NE,60.33,18.69,12.92,37,0,7.43
Allapalli,IN,60.01,19.43,80.06,76,0,3.29
Skjervoy,NO,32.52,70.03,20.97,100,88,1.5
Koumac,NC,74.64,-20.56,164.28,99,100,5.97
Abonnema,NG,89.6,4.71,6.79,29,68,4.7
Dong Hoi,VN,73.11,17.48,106.6,100,68,9.22
Catalina,CO,89.6,8.86,-75.38,62,40,7.76
Gimli,CA,10.2,50.63,-96.99,80,48,2.95
Mogapinyana,BW,93.2,-22.37,27.59,41,75,2.24
Eberswalde,DE,33.8,52.84,13.8,86,75,8.05
Pascagoula,US,54.1,30.37,-88.56,54,40,9.17
Teya,MX,78.8,21.05,-89.07,44,75,17.22
Rio Gallegos,AR,64.4,-51.62,-69.22,16,40,16.11
Elk,PL,27.3,53.83,22.36,90,92,14.7
Port Macquarie,AU,59.86,-31.43,152.91,93,0,4.74
Teeli,RU,-13.84,51.01,90.2,69,36,1.39
Rorvik,NO,38.64,64.86,11.24,100,92,17.05
Progreso,UY,84.2,-34.68,-56.22,45,0,10.29
Hoquiam,US,41.5,46.98,-123.89,92,90,6.93
Surt,LY,60.51,31.21,16.59,100,8,9.33
Plettenberg Bay,ZA,67.35,-34.05,23.37,99,0,1.39
Magdalena,BO,78.8,-13.26,-64.05,94,75,7.31
Astoria,US,41,46.19,-123.83,100,1,4.7
Saldanha,PT,37.87,41.42,-6.55,96,36,3.06
Bandipur,IN,66.67,11.67,76.63,93,12,1.95
Porto de Moz,BR,82.29,-1.75,-52.24,81,36,4.07
Ugoofaaru,MV,82.2,5.67,73,100,92,14.47
